shoeID,shoeName,shoeNickname,shoeSlogan,originalReleaseDate,originalReleaseYear,originalColor,designer,originalPrice,notes,jordanLink
jordan1,Air Jordan I,,,April 1985,1985,Black/Red,Peter Moore,65,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-1
jordan2,Air Jordan II,,,November 1986,1986,White/Red,Peter Moore & Bruce Kilgore,100,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-2
jordan3,Air Jordan III,,,January 1988,1988,White/Cement Grey,Tinker Hatfield,100,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-3
jordan4,Air Jordan IV,,,February 1989,1989,Black/Cement Grey,Tinker Hatfield,110,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-4
jordan5,Air Jordan V,,,February 1990,1990,Black/Metallic Silver,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-5
jordan6,Air Jordan VI,,,1991,1991,Black/Infrared,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-6
jordan7,Air Jordan VII,,,1992,1992,White/Light Silver – Red,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-7
jordan8,Air Jordan VIII,,,1993,1993,Black/Bright Concord – Aqua Tone,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-8
jordan9,Air Jordan IX,,,1993,1993,White/Black – True Red,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-9
jordan10,Air Jordan X,,,1994-1995,1994-1995,White/Black – Light Steel Grey,Tinker Hatfield,125,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec bibendum nulla vitae tincidunt porttitor. Donec ex turpis, gravida sit amet risus sit amet, hendrerit sagittis quam. Mauris pellentesque eros at magna varius, ac vestibulum felis elementum. Etiam in consequat nulla. Curabitur sagittis, ex nec aliquam suscipit, nibh urna molestie nisl, et fermentum turpis urna sit amet sapien. Fusce fermentum eros eu porta semper.",https://www.jordan.com/collection/air-jordan-10
